clientMac,group,transition,uniquePlaces,totalTime
c96e,active (others),1,1,1082
eb95,active (others),2,2,3573
0170,active (others),2,1,3429
5f7a,inactive (dorm),2,1,2028
085f,active (others),3,2,1780
5593,active (others),2,1,3591
60c1,active (others),1,1,3238
2e22,active (others),4,3,1621
6158,inactive (dorm),1,1,433
4e4d,active (others),1,1,3365
2477,inactive (dorm),1,1,3595
cf6a,inactive (dorm),1,1,3591
f273,active (others),1,1,2928
f8c4,active (others),2,2,1224
223a,active (others),2,1,1573
6d7a,active (others),1,1,3597
a298,active (others),4,2,813
9355,active (others),1,1,3472
7256,inactive (dorm),1,1,16
a183,active (others),1,1,3431
5245,active (others),1,1,3425
e990,inactive (dorm),1,1,2869
9b5d,in-the-wild (others),1,1,3301
f3fe,active (others),1,1,2164
27a3,active (others),7,5,2733
4045,active (others),1,1,2881
bc28,inactive (dorm),1,1,2835
530a,inactive (dorm),1,1,3595
dea6,active (others),1,1,3468
231d,active (others),2,2,3552
c352,inactive (dorm),1,1,937
2bac,active (others),1,1,2202
fa6c,active (others),5,4,3538
0712,active (others),1,1,3377
3c7b,active (others),4,2,3260
1b01,in-the-wild (others),7,7,3536
10b1,active (dorm),3,3,1808
65ad,active (others),1,1,3486
da91,active (dorm),3,3,3412
8a86,active (others),4,3,3516
75f3,inactive (dorm),2,1,2640
b6d9,active (others),2,2,3587
79bc,active (others),1,1,517
f754,active (others),4,2,3558
16a2,active (others),2,1,3593
472e,active (others),1,1,2729
1dfa,active (others),1,1,3290
14fb,in-the-wild (others),7,4,3597
76ac,active (others),11,2,3478
a86e,inactive (dorm),1,1,2712
0d58,active (others),1,1,3567
bd34,inactive (dorm),1,1,3579
47dd,inactive (dorm),2,1,525
5eed,active (others),1,1,3597
e4cb,in-the-wild (others),1,1,458
8fb4,inactive (dorm),1,1,1499
1e9e,in-the-wild (others),1,1,10
54fd,active (others),5,3,3593
63f2,inactive (dorm),1,1,3550
761f,active (others),1,1,2071
46c9,active (others),2,2,3373
231f,inactive (dorm),1,1,361
864c,active (dorm),4,2,3293
5c7a,active (others),1,1,3266
0f47,active (others),3,3,1993
4044,inactive (dorm),1,1,1932
c12b,active (others),1,1,3496
0346,active (others),1,1,2959
1ce7,in-the-wild (others),2,2,176
4210,inactive (dorm),1,1,3522
77d0,active (others),1,1,3338
cb3c,active (others),1,1,2710
75ce,active (others),2,1,3460
8bbc,in-the-wild (others),2,1,1899
01dd,active (others),1,1,3589
eb3e,inactive (dorm),1,1,1733
9ff5,active (others),4,3,3448
8399,active (others),1,1,3394
110a,active (others),1,1,1322
ff23,active (others),1,1,3299
d7f8,active (others),1,1,3460
d21e,inactive (dorm),1,1,2580
6950,inactive (dorm),1,1,3379
1c34,active (others),3,3,3591
f155,active (others),2,2,2863
