name,parent,value
YNCRC2,9a0d,3534
YNCRC2,ae92,3591
E3,da65,3222
YNCRC2,433f,3322
YNCRC1,7fde,3286
YNCRC1,6b71,3197
EW2,a132,460
BIZ2,2ce3,2721
UTSRC,627f,3538
UHC-BS,0f29,890
OYIH-BS,0f29,306
PGP-BS,0f29,2344
OUHC-BS,0f29,43
UT-BS,79af,166
GRS,79af,67
LT27-BS,79af,250
ERC,79af,813
CREATE,79af,58
OUHC-BS,79af,29
PGP-BS,79af,1889
E4,e3d0,1110
E4A,e3d0,2455
S5,d8e2,2009
S9,d8e2,1509
UH,5381,2394
MD6,5bf9,333
PGP-BS,7389,3514
SFAH,6078,1687
LT4,6078,197
UCC,6078,1008
HSSML,d981,288
S6,27b9,3342
E4,6eb2,3550
AS5,b40b,1897
YNCRC1,05fe,2486
UHALL-BS,dd6a,22
S17,dd6a,1380
IT-BS,d49e,21
UT-BS,d49e,653
AS8-BS,d49e,1681
AS2,9527,232
AS1,9527,3355
YNCEC,e8d1,3236
YNCRC1,0686,3286
BIZ2,90ac,3573
YNCRC1,4a39,3454
S14,0878,3314
T-LAB,11d3,3147
MD6,d213,1839
LT5,8002,1056
YNCRC1,6216,783
UH,baad,3554
E6,b203,3577
RH-BS,63d4,178
S16,45d7,52
S16CTN,45d7,1681
MD1,45d7,433
CRECTN,c3cf,26
CREATE,c3cf,293
GRN,c3cf,65
GRS,c3cf,2377
S16CTN,242e,1193
MD9,242e,2223
YNCRC1,da67,2079
ERC,da67,1354
UCC,0773,3414
YNCRC3,02e9,3462
E4,3118,1655
E3,3118,1861
T-LAB,5a83,3558
MD1,286d,1165
AS5,9800,1499
S16,59e0,122
S16CTN,59e0,181
LT27,59e0,486
LT27-BS,59e0,2737
TBS,2d67,89
CNM,2d67,191
E6,fe56,3536
MD6,c731,3581
RC4,d85f,3577
YSTCM,c340,3470
MD1,358a,3514
UT-BS,d116,84
KV-BS,d116,125
EA,d116,167
ERC,d116,245
MUSM-BS,d116,200
CREATE,d116,170
KRT-BS,d116,2600
HSSML,ba73,267
PGP-BS,ba73,2903
UT-BS,7549,143
ERC,7549,78
UTSRC,7549,126
YNCEC,7549,49
YNCRC3,7549,583
S16,a00a,117
S15,a00a,1911
ERC,93e0,3579
RH-BS,3926,3301
SSLS,9fc8,142
LT13-BS,9fc8,993
CLIBANNEX,9fc8,195
VENT,4a31,887
S16,94b4,3579
YNCRC1,3915,1636
TBS,f0ea,3293
CNM,f0ea,94
UHALL-BS,749d,188
PGP-BS,749d,154
LT27-BS,749d,269
E4,908c,260
MUSM-BS,ab34,2630
LKC,ab34,882
YNCRC2,1408,1681
SDE2,392f,3565
LT27,6f02,3488
KV-BS,8e5b,2388
AS8,8e5b,156
YIH-BS,8e5b,58
MUSM-BS,8e5b,98
AS2,8e5b,66
AS1,8e5b,111
CREATE,3249,132
GRS,3249,58
YIH-BS,3249,2566
ERC,3249,766
ERC,75c0,2879
YNCRC2,ccf3,417
MD6,2826,3510
TCOMS,50ed,427
KRH,6883,969
YNCRC2,e8d6,3252
S12,9709,3394
MD6,ee81,2620
RC4,2c74,2556
MD6,c07a,3153
IT,cca5,2
S16,26c9,1269
S13,26c9,2218
S14,26c9,43
YNCRC3,926e,3016
YNCRC1,9629,2299
CREATE,9629,195
CNM,535e,2426
MD6,0f46,3374
PGP-BS,0f46,78
UCC,7b17,3546
HSSML,8607,2665
OUHC-BS,0dd1,2580
OYIH-BS,0dd1,16
MD6,d64f,3579
E3,cba5,2114
S6,29e4,2081
VEN-BS,d89c,1215
SFAH,d89c,2331
EA,1082,1353
GRS,1082,521
YNCRC1,5ecb,2934
E6,487a,2252
E4A,487a,300
E3A,b5e6,3532
E1,ca09,2543
E1A,ca09,899
EW1,ca09,64
KRH,1240,515
ERC,63a7,2919
S15,aff1,3552
CLIB,3ad8,2
UH,3ad8,3392
HSSML,8207,842
ERC,7c07,3336
YNCRC1,c98f,3200
S15,55ed,3147
SDE1,d863,824
SDE2,d863,2739
UTSRC,6a4e,3195
I4,c30d,52
TCOMS,c30d,24
BIZ2-BS,c30d,180
OHSSL-BS,c30d,3240
VEN-BS,1e2d,3595
T-LAB,b429,3478
I3,783e,3496
MD3,edc0,3512
I3,83a9,3506
YNCRC1,3dd1,3482
CLIB,3911,1876
YNCRC2,fe9a,189
MD11,6048,115
LT27,6048,1165
CELS,6048,804
MD9,6048,59
YNCRC1,07fc,1488
UTSRC,c537,1934
EW1,5ea0,3408
MD1,ba1b,3565
CREATE,9ac5,495
UTSRC,9ac5,607
ERC,9ac5,2483
KRT-BS,50ef,125
LT11,50ef,57
VEN-BS,50ef,62
MD1,a39d,3587
BIZ2-BS,4c41,1800
KE7H,8a95,3514
PGP-BS,8a95,44
E4,fb9c,1119
ERC,9ec7,3585
VEN-BS,5eca,3558
UTSRC,0e26,3554
IT-BS,7ea9,2774
CLIB,7ea9,172
RC4,566d,3577
UTSRC,1dec,3234
E5,8839,799
E4,8839,74
E4A,8839,2556
HSSML,1ca7,703
BIZ2,1ca7,105
YIH-BS,1ca7,108
AS8-BS,1ca7,85
COM2-BS,1ca7,107
BIZ1,1ca7,228
S17-BS,1ca7,2096
ARTSCTN,1ca7,22
UT-BS,4ff2,664
YIH-BS,4ff2,2556
BIZ1,90d9,3329
MD6,6267,3563
MD1,4672,3178
YNCRC2,3395,2295
I3,e6f8,2745
T-LAB,14d3,3575
E5,fcba,3546
VENT,38d2,714
UCC,77fb,3498
S16CTN,b236,2158
S5,b236,62
S4A,b236,73
YNCRC2,8578,3276
YNCRC1,8578,79
ERC,8578,61
UTSRC,8578,181
YNCRC1,898e,102
YNCRC2,898e,278
ERC,898e,40
YNCEC,898e,55
UTSRC,898e,3120
S16,bb7b,3585
VEN-BS,c2af,65
YIH-BS,c2af,67
LT27-BS,c2af,195
COM2-BS,c2af,63
